fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev
margin,top30,7,10,7,4.494353,65.38,4.510826,30.351038,1356.938592,573.250993
margin,top30,7,10,8,3.900684,69.46,4.481127,29.995900,1364.875371,569.568247
margin,top30,7,10,9,3.459339,70.50,4.447165,29.805885,1368.838882,567.038147
margin,top30,7,10,10,3.025705,72.61,4.454681,29.935293,1380.322663,566.111010
margin,top30,7,10,11,2.725765,72.78,4.490731,30.019706,1385.999768,564.486259
margin,top30,7,10,12,2.088676,75.25,4.485874,29.992311,1393.016354,565.204410
margin,top30,7,10,13,1.949225,76.51,4.520036,30.140696,1395.109526,563.932497
margin,top30,7,10,14,1.472041,76.33,4.489440,30.180755,1400.567088,562.414094
margin,top30,7,10,15,1.223674,76.35,4.517616,30.095850,1406.828880,561.002927
margin,top30,7,10,16,1.000071,77.46,4.519494,29.958443,1411.915392,558.209014
margin,top30,7,10,17,0.864270,77.30,4.488658,29.635908,1415.950823,557.878380
margin,top30,7,10,18,0.688881,77.28,4.495749,29.458360,1418.115130,556.743050
margin,top30,7,10,19,0.681533,77.52,4.491901,29.471262,1418.548964,556.844089
margin,top30,7,10,20,0.642055,77.76,4.494289,29.388215,1418.034236,555.846989
margin,top30,7,10,21,0.630965,77.43,4.496746,29.427103,1419.159400,555.162864
margin,top30,7,10,22,0.591978,77.29,4.494252,29.292814,1417.843002,553.924954
margin,top30,7,10,23,0.587638,77.33,4.505649,29.333111,1418.041109,554.866250
margin,top30,7,10,24,0.568253,77.21,4.496128,29.338056,1417.539578,554.203083
margin,top30,7,10,25,0.539781,77.26,4.491715,29.287292,1417.948277,553.543953
margin,top30,13,20,1,20.584812,46.78,4.704332,32.765287,1261.684594,617.219775
margin,top30,13,20,2,17.653336,51.71,4.631178,31.142859,1308.362207,585.708386
margin,top30,13,20,3,15.947762,52.78,4.577451,31.223123,1321.240264,581.908778
margin,top30,13,20,4,14.287007,53.38,4.622363,30.988246,1332.032215,577.175466
margin,top30,13,20,5,12.241801,59.64,4.574490,31.023457,1343.620796,575.752833
margin,top30,13,20,6,10.628320,62.51,4.582642,30.762454,1347.773557,573.659573
