net,optimizer,min_max_ut,rep,seed,size_gen,n_decision_rules,mode,stop_generation,best_fitness,best_accuracy,mean_accuracy,mse_chance,mse_utility,cpu_per_gen,cpu_total
nhlv1,keda,True,3,45,400,7,utility_only,10,0.0,97.01492537313432,85.41417910447761,0.0,29.92274096063649,151.4765625,1514.765625
nhlv1,keda,True,4,46,400,7,utility_only,10,0.0,98.50746268656717,86.46641791044777,0.0,30.578354763022432,149.678125,1496.78125
nhlv1,keda,True,5,47,400,7,utility_only,10,0.0,98.50746268656717,84.94402985074626,0.0,30.304716732925087,140.81093749999982,1408.1093749999982
nhlv1,keda,True,6,48,400,7,utility_only,6,0.0,97.01492537313432,74.28358208955224,0.0,28.27736094149626,140.28645833333363,841.7187500000018
nhlv1,keda,True,7,49,400,7,utility_only,10,0.0,98.50746268656717,85.16417910447763,0.0,29.705320786132248,141.8171875,1418.171875
nhlv1,keda,True,8,50,400,7,utility_only,13,0.0,100.0,89.36940298507463,0.0,27.877368660867766,142.0721153846151,1846.9374999999964
nhlv1,keda,True,9,51,400,7,utility_only,13,0.0,100.0,89.22388059701494,0.0,31.1124950632655,141.79447115384644,1843.328125000004
nhlv1,keda,False,0,42,400,7,utility_only,11,0.0,97.01492537313432,85.95895522388058,0.0,30.758966807304407,143.5582386363633,1579.1406249999964
nhlv1,keda,False,1,43,400,7,utility_only,10,0.0,97.01492537313432,84.45149253731343,0.0,29.89744767181845,140.77500000000038,1407.7500000000036
nhlv1,keda,False,2,44,400,7,utility_only,14,0.0,98.50746268656717,88.50373134328358,0.0,29.932032544049903,142.77790178571402,1998.8906249999964
nhlv1,keda,False,3,45,400,7,utility_only,11,0.0,98.50746268656717,86.32089552238806,0.0,28.425756763590627,141.17755681818215,1552.9531250000036
nhlv1,keda,False,4,46,400,7,utility_only,11,0.0,98.50746268656717,86.32089552238806,0.0,29.739430550694888,140.89346590909057,1549.8281249999964
nhlv1,keda,False,5,47,400,7,utility_only,10,0.0,98.50746268656717,82.8768656716418,0.0,32.03358643891836,141.41718750000035,1414.1718750000036
nhlv1,keda,False,6,48,400,7,utility_only,7,0.0,94.02985074626866,78.48880597014926,0.0,26.82402778162797,135.1875,946.3125
nhlv1,keda,False,7,49,400,7,utility_only,10,0.0,98.50746268656717,85.38059701492537,0.0,29.10541031994782,185.7828125,1857.828125
nhlv1,keda,False,8,50,400,7,utility_only,13,0.0,100.0,87.6455223880597,0.0,31.20356455530453,194.0096153846154,2522.125
nhlv1,keda,False,9,51,400,7,utility_only,14,0.0,97.01492537313432,88.94402985074626,0.0,28.92103030357352,174.86941964285714,2448.171875
nhlv1,egna,True,0,42,50,7,utility_only,16,0.0,92.53731343283582,80.53731343283582,0.0,31.35352323404109,29.1474609375,466.359375
nhlv1,egna,True,1,43,50,7,utility_only,16,0.0,89.55223880597015,79.28358208955224,0.0,31.5250101695803,29.269531249999943,468.3124999999991
nhlv1,egna,True,2,44,50,7,utility_only,23,0.0,94.02985074626866,88.02985074626864,0.0,32.88785577583426,42.438858695652215,976.0937500000008
nhlv1,egna,True,3,45,50,7,utility_only,13,0.0,85.07462686567165,76.35820895522389,0.0,27.728202705242772,25.05408653846154,325.703125
nhlv1,egna,True,4,46,50,7,utility_only,14,0.0,95.52238805970148,86.59701492537313,0.0,32.98557905712307,22.272321428571427,311.8125
nhlv1,egna,True,5,47,50,7,utility_only,10,0.0,88.05970149253731,72.8955223880597,0.0,31.412124381906033,23.328125,233.28125
nhlv1,egna,True,6,48,50,7,utility_only,11,0.0,85.07462686567165,76.17910447761193,0.0,29.401251059211607,24.603693181818183,270.640625
nhlv1,egna,True,7,49,50,7,utility_only,16,0.0,94.02985074626866,84.89552238805969,0.0,29.924005471335867,25.205078125,403.28125
nhlv1,egna,True,8,50,50,7,utility_only,31,0.0,97.01492537313433,87.19402985074626,0.0,31.488183067814575,24.601310483870968,762.640625
nhlv1,egna,True,9,51,50,7,utility_only,37,0.0,97.01492537313433,93.5223880597015,0.0,36.13643556396807,24.73733108108108,915.28125
nhlv1,egna,False,0,42,50,7,utility_only,10,0.0,82.08955223880598,65.88059701492539,0.0,32.25651796197677,24.578125,245.78125
nhlv1,egna,False,1,43,50,7,utility_only,10,0.0,80.59701492537313,66.95522388059702,0.0,30.114878322414963,25.003125,250.03125
nhlv1,egna,False,2,44,50,7,utility_only,20,0.0,95.52238805970148,83.13432835820895,0.0,30.362537654867836,24.7578125,495.15625
nhlv1,egna,False,3,45,50,7,utility_only,14,0.0,85.07462686567165,77.94029850746269,0.0,33.27983411485573,24.918526785714285,348.859375
nhlv1,egna,False,4,46,50,7,utility_only,10,0.0,91.04477611940298,84.59701492537313,0.0,34.87919033391149,24.553125,245.53125
nhlv1,egna,False,5,47,50,7,utility_only,21,0.0,89.55223880597015,82.17910447761194,0.0,28.318118686268672,24.94047619047619,523.75
nhlv1,egna,False,6,48,50,7,utility_only,9,0.0,85.07462686567165,65.67164179104478,0.0,29.892025016034495,24.397569444444443,219.578125
nhlv1,egna,False,7,49,50,7,utility_only,19,0.0,89.55223880597015,78.20895522388061,0.0,33.018636979197375,24.992598684210478,474.8593749999991
nhlv1,egna,False,8,50,50,7,utility_only,27,0.0,97.01492537313433,88.17910447761194,0.0,34.207701982603936,24.828703703703738,670.3750000000009
nhlv1,egna,False,9,51,50,7,utility_only,22,0.0,94.02985074626866,85.64179104477613,0.0,33.86633996357695,24.441051136363637,537.703125
