fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,fitness,accuracy,mse
margin,top10,6,30,5,7.540348,57.04,20.200693
margin,top10,6,30,6,6.695814,59.31,19.744290
margin,top10,6,30,7,6.095334,60.68,20.064809
margin,top10,6,30,8,5.240636,62.23,20.471791
margin,top10,6,30,9,4.835561,63.81,20.167801
margin,top10,6,30,10,4.005843,66.37,20.149720
margin,top10,6,30,11,3.736320,66.69,19.914774
margin,top10,6,30,12,3.637342,67.35,20.007409
margin,top10,8,40,1,14.972699,49.94,23.183332
margin,top10,8,40,2,13.508233,50.83,21.949438
margin,top10,8,40,3,13.156012,51.30,22.292142
margin,top10,8,40,4,12.596063,51.98,22.524761
margin,top10,8,40,5,11.179999,52.55,22.560136
margin,top10,8,40,6,10.412967,53.99,21.820496
margin,top10,8,40,7,9.429030,55.81,22.242135
margin,top10,8,40,8,8.465654,56.56,22.280910
margin,top10,8,40,9,7.602007,59.32,21.757619
margin,top10,8,40,10,5.984803,62.76,22.004308
margin,top10,8,40,11,4.943876,64.21,21.826828
margin,top10,8,40,12,3.697371,68.20,21.101863
margin,top10,8,40,13,3.457671,69.81,20.708129
margin,top10,8,40,14,2.836545,70.28,20.213746
margin,top30,1,5,1,1.961301,48.33,22.948288
margin,top30,1,5,2,1.676139,49.26,22.809819
margin,top30,2,10,1,3.878983,50.65,22.572453
margin,top30,2,10,2,3.172762,50.53,21.259549
margin,top30,2,10,3,2.834788,51.07,20.410095
margin,top30,2,10,4,2.628611,51.83,20.424334
margin,top30,2,10,5,2.410125,52.52,20.341793
margin,top30,2,10,6,2.117503,54.52,20.052248
margin,top30,2,10,7,2.152833,54.85,19.891316
margin,top30,2,10,8,1.858735,54.93,19.425169
margin,top30,2,10,9,1.732200,55.50,19.291799
margin,top30,4,20,1,7.224285,49.51,22.335181
margin,top30,4,20,2,6.601212,50.87,20.947894
margin,top30,4,20,3,6.390399,50.41,21.016965
margin,top30,4,20,4,5.531357,52.04,20.513334
margin,top30,4,20,5,5.675317,52.65,20.076933
margin,top30,4,20,6,5.283572,53.15,20.321904
margin,top30,4,20,7,4.695264,54.11,20.029429
margin,top30,4,20,8,3.939647,54.94,19.517937
margin,top30,4,20,9,3.484386,56.54,19.243531
margin,top30,4,20,10,3.167801,56.61,19.024431
margin,top30,4,20,11,2.656185,58.55,19.124375
margin,top30,4,20,12,2.224915,59.54,18.784131
margin,top30,4,20,13,2.000284,61.02,18.906516
margin,top30,4,20,14,1.743945,61.24,18.706275
margin,top30,6,30,1,11.984628,49.54,22.656308
margin,top30,6,30,2,10.331115,51.11,20.827894
margin,top30,6,30,3,10.285259,51.41,20.734191
margin,top30,6,30,4,9.239007,53.69,20.750266
margin,top30,6,30,5,9.196137,53.41,20.114884
margin,top30,6,30,6,7.850874,55.55,19.408103
margin,top30,6,30,7,7.319895,56.21,19.263180
margin,top30,6,30,8,6.423197,57.63,18.687922
margin,top30,6,30,9,5.464727,59.84,18.651446
margin,top30,6,30,10,4.254485,62.93,18.802697
margin,top30,6,30,11,3.623320,64.77,18.362010
margin,top30,6,30,12,3.015434,66.99,18.686410
margin,top30,6,30,13,2.370772,68.70,19.089126
margin,top30,6,30,14,2.317215,68.25,19.058998
margin,top30,6,30,15,2.001417,68.98,19.217488
margin,top30,6,30,16,1.856902,68.88,19.300807
margin,top30,6,30,17,1.560910,69.41,19.643090
margin,top30,6,30,18,1.428027,70.38,19.719102
margin,top30,6,30,19,1.392288,70.24,19.688983
margin,top30,8,40,1,14.654258,50.51,22.816915
margin,top30,8,40,2,13.350018,51.77,20.911497
margin,top30,8,40,3,12.784912,52.45,21.435256
margin,top30,8,40,4,12.381655,53.25,21.247839
margin,top30,8,40,5,11.151840,54.26,20.666246
margin,top30,8,40,6,10.230134,57.34,21.181338
margin,top30,8,40,7,9.340228,57.53,21.243274
margin,top30,8,40,8,8.196970,59.43,20.833536
margin,top30,8,40,9,7.310135,60.82,20.802454
margin,top30,8,40,10,5.781495,64.62,20.445899
margin,top30,8,40,11,4.994945,66.93,20.749103
margin,top30,8,40,12,3.748942,69.68,21.199994
margin,top30,8,40,13,3.160162,69.75,20.078792
margin,top30,8,40,14,2.390254,72.78,19.719337
margin,top30,8,40,15,1.838311,73.51,19.898487
margin,top30,8,40,16,1.590017,73.60,19.892128
margin,top30,8,40,17,1.353136,74.39,19.896899
margin,top30,8,40,18,1.303787,74.80,19.892556
margin,top30,8,40,19,1.150861,74.83,20.026861
margin,top30,8,40,20,1.103014,75.54,20.031716
margin,top70,1,5,1,1.851847,49.10,22.577969
margin,top70,1,5,2,1.417762,50.77,21.162491
margin,top70,1,5,3,1.084261,52.57,21.562719
margin,top70,1,5,4,0.973791,52.09,20.892315
margin,top70,1,5,5,0.865809,52.64,20.732822
margin,top70,1,5,6,0.667568,54.07,20.490314
margin,top70,1,5,7,0.658773,54.30,20.226059
margin,top70,1,5,8,0.481219,54.32,20.255365
margin,top70,2,10,1,3.450358,51.63,22.853249
margin,top70,2,10,2,3.165623,50.91,21.213792
margin,top70,2,10,3,2.849485,52.71,20.554636
margin,top70,2,10,4,2.512708,53.19,20.257874
margin,top70,2,10,5,1.979128,54.44,20.464816
margin,top70,2,10,6,1.373693,57.10,21.009726
margin,top70,2,10,7,1.048813,57.31,20.435486
margin,top70,2,10,8,0.792454,57.25,20.890306
margin,top70,2,10,9,0.704117,58.13,21.054827
margin,top70,2,10,10,0.568339,59.20,21.035454
margin,top70,2,10,11,0.573412,59.30,20.937528
margin,top70,2,10,12,0.515844,60.40,21.100873
margin,top70,4,20,1,7.491841,50.23,22.275054
margin,top70,4,20,2,6.957508,50.14,20.487423
margin,top70,4,20,3,6.408228,51.71,20.415302
margin,top70,4,20,4,5.691243,53.33,19.411890
margin,top70,4,20,5,5.370469,53.16,19.507558
margin,top70,4,20,6,4.791285,54.32,19.993000
margin,top70,4,20,7,4.135107,56.14,19.347421
margin,top70,4,20,8,3.591029,57.90,19.395924
margin,top70,4,20,9,2.751513,59.11,18.905344
margin,top70,4,20,10,1.931023,62.51,19.085853
margin,top70,4,20,11,1.460665,64.31,19.292855
margin,top70,4,20,12,1.411109,63.84,19.549987
margin,top70,4,20,13,0.949976,64.02,19.755584
margin,top70,4,20,14,0.806834,65.43,19.882982
margin,top70,4,20,15,0.580144,66.04,19.788311
margin,top70,4,20,16,0.454847,66.24,19.899256
margin,top70,4,20,17,0.461111,66.83,19.749703
margin,top70,4,20,18,0.390072,66.50,19.720622
margin,top70,6,30,1,11.259997,50.95,22.571384
margin,top70,6,30,2,10.043802,50.22,21.019489
margin,top70,6,30,3,9.347013,51.09,21.588800
margin,top70,6,30,4,8.769352,52.13,21.582619
margin,top70,6,30,5,8.828799,52.90,21.458148
margin,top70,6,30,6,7.811316,53.51,21.236868
margin,top70,6,30,7,7.006340,54.91,21.393625
margin,top70,6,30,8,6.361264,57.77,21.858158
margin,top70,6,30,9,5.492098,59.55,22.098154
margin,top70,6,30,10,4.637871,61.32,22.695755
margin,top70,6,30,11,3.894073,62.29,22.403624
margin,top70,6,30,12,2.816541,65.02,21.995147
margin,top70,6,30,13,2.248784,65.42,22.651677
margin,top70,6,30,14,1.714659,67.08,22.203296
margin,top70,6,30,15,1.294523,68.37,22.514868
margin,top70,6,30,16,0.810152,69.77,22.073908
margin,top70,6,30,17,0.694645,70.39,22.361686
margin,top70,6,30,18,0.573876,70.63,22.241285
margin,top70,6,30,19,0.537716,70.48,21.803397
margin,top70,6,30,20,0.471316,70.21,21.725134
margin,top70,6,30,21,0.457753,70.06,21.416913
margin,top70,6,30,22,0.409951,70.22,21.430384
margin,top70,8,40,1,15.259067,49.43,22.182490
margin,top70,8,40,2,13.701514,50.86,21.147034
margin,top70,8,40,3,12.443289,50.82,20.792488
margin,top70,8,40,4,11.714946,52.83,20.632659
margin,top70,8,40,5,11.012961,52.55,20.357463
margin,top70,8,40,6,10.157606,55.88,19.700187
margin,top70,8,40,7,8.893888,57.02,19.630179
margin,top70,8,40,8,7.879003,59.01,19.614602
margin,top70,8,40,9,7.067663,61.02,19.916124
margin,top70,8,40,10,6.007035,64.17,19.554307
margin,top70,8,40,11,4.823984,66.80,20.006357
margin,top70,8,40,12,4.213046,67.58,20.387850
margin,top70,8,40,13,3.004646,70.37,20.203262
margin,top70,8,40,14,2.333481,71.86,20.187940
margin,top70,8,40,15,1.777919,73.28,20.148014
margin,top70,8,40,16,1.363731,74.61,20.494136
margin,top70,8,40,17,0.938105,75.67,20.488593
margin,top70,8,40,18,0.714275,76.73,20.255743
margin,top70,8,40,19,0.655616,76.88,20.107505
margin,top70,8,40,20,0.545859,76.80,20.139320
margin,top70,8,40,21,0.449691,76.92,20.346877
margin,top70,8,40,22,0.415907,77.52,20.078607
margin,top70,8,40,23,0.382978,77.69,19.919448
margin,top70,8,40,24,0.345819,77.97,19.766451
margin,top70,8,40,25,0.314324,77.82,19.897616
margin,top90,1,5,1,1.760973,50.27,22.401556
margin,top90,1,5,2,1.405088,51.03,21.601247
margin,top90,1,5,3,1.495854,52.01,21.568145
margin,top90,1,5,4,1.093022,52.14,21.519113
margin,top90,1,5,5,0.899536,53.59,21.475610
margin,top90,1,5,6,0.601154,54.39,21.228311
margin,top90,1,5,7,0.493375,53.97,21.322444
margin,top90,1,5,8,0.308122,54.83,21.108721
margin,top90,1,5,9,0.397138,54.37,21.198977
margin,top90,1,5,10,0.271066,56.11,21.477213
margin,top90,1,5,11,0.262165,55.83,21.064603
margin,top90,1,5,12,0.142157,56.31,21.006390
margin,top90,1,5,13,0.141696,56.36,21.028981
margin,top90,1,5,14,0.115734,56.35,20.822582
margin,top90,1,5,15,0.111470,56.66,20.699710
margin,top90,1,5,16,0.096558,56.32,20.879184
margin,top90,2,10,1,3.812630,49.71,22.241710
margin,top90,2,10,2,3.285943,49.87,20.595499
margin,top90,2,10,3,2.871397,50.52,21.095758
margin,top90,2,10,4,2.699105,49.89,20.811161
margin,top90,2,10,5,2.396445,52.17,21.231826
margin,top90,2,10,6,2.159804,53.77,20.709222
margin,top90,2,10,7,1.634703,53.71,20.135461
margin,top90,2,10,8,1.496288,55.00,20.350524
margin,top90,2,10,9,1.311349,55.09,20.626310
margin,top90,2,10,10,0.909981,54.14,20.568444
margin,top90,2,10,11,0.711896,54.96,20.188056
margin,top90,2,10,12,0.513865,55.72,20.460730
margin,top90,2,10,13,0.329551,55.94,20.616385
margin,top90,2,10,14,0.328071,55.93,20.746068
margin,top90,2,10,15,0.227985,56.21,20.506892
margin,top90,2,10,16,0.188346,56.70,20.461597
margin,top90,2,10,17,0.195596,56.10,20.394934
margin,top90,2,10,18,0.134015,55.69,20.612006
margin,top90,2,10,19,0.137271,56.09,20.600802
margin,top90,2,10,20,0.126510,56.17,20.492200
margin,top90,2,10,21,0.130165,56.31,20.466836
margin,top90,2,10,22,0.135912,55.64,20.533608
margin,top90,4,20,1,7.625748,50.84,21.985470
margin,top90,4,20,2,6.415093,50.75,21.035864
margin,top90,4,20,3,5.956516,51.78,20.662471
margin,top90,4,20,4,6.195123,51.27,21.219911
margin,top90,4,20,5,4.915769,52.55,19.574162
margin,top90,4,20,6,4.583140,53.45,18.954226
margin,top90,4,20,7,4.054454,54.25,18.953050
margin,top90,4,20,8,3.133295,58.06,18.298249
margin,top90,4,20,9,2.627863,58.98,18.002573
margin,top90,4,20,10,2.000513,61.83,17.644582
margin,top90,4,20,11,1.370940,62.48,18.268409
margin,top90,4,20,12,0.984707,64.13,17.766175
margin,top90,4,20,13,0.770160,65.01,17.397833
margin,top90,4,20,14,0.672113,65.24,17.443304
margin,top90,4,20,15,0.811512,66.12,17.519049
margin,top90,4,20,16,0.373203,67.80,18.061395
