mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev
both,non_symmetric,1.0,1.0,softmax,top50,4,20,13,2.444809,89.59,2.027582,22.719719,0.259827,42.097616
both,non_symmetric,1.0,1.0,softmax,top50,4,20,14,2.514566,90.28,2.022799,22.695525,0.218190,42.021130
both,non_symmetric,1.0,1.0,softmax,top50,4,20,15,2.409061,91.09,2.007589,22.793835,0.188809,42.083365
both,non_symmetric,1.0,1.0,softmax,top50,4,20,16,2.392606,91.72,2.001576,22.802401,0.177184,42.198605
both,non_symmetric,1.0,1.0,softmax,top50,4,20,17,2.413428,91.92,1.989198,22.730617,0.173427,42.251401
both,non_symmetric,1.0,1.0,softmax,top50,4,20,18,2.370289,92.17,1.991822,22.800978,0.166588,42.298635
both,non_symmetric,1.0,1.0,softmax,top50,8,40,1,12.186527,50.01,1.507400,18.993726,11.568111,37.116684
both,non_symmetric,1.0,1.0,softmax,top50,8,40,2,10.517478,52.50,1.636018,19.111904,8.952813,37.165041
both,non_symmetric,1.0,1.0,softmax,top50,8,40,3,10.149375,53.73,1.731480,19.968454,6.758500,37.701699
both,non_symmetric,1.0,1.0,softmax,top50,8,40,4,10.109552,56.38,1.799581,20.623952,4.957048,38.455469
both,non_symmetric,1.0,1.0,softmax,top50,8,40,5,9.262536,61.29,1.835289,21.147349,3.599134,38.865257
both,non_symmetric,1.0,1.0,softmax,top50,8,40,6,8.847648,65.93,1.865580,21.748901,2.629333,39.216640
both,non_symmetric,1.0,1.0,softmax,top50,8,40,7,8.122095,72.69,1.918813,21.647901,1.905835,39.493755
both,non_symmetric,1.0,1.0,softmax,top50,8,40,8,7.587996,77.44,1.946743,21.989355,1.340756,39.768270
both,non_symmetric,1.0,1.0,softmax,top50,8,40,9,7.049240,82.10,1.974160,22.542876,0.964035,40.368389
both,non_symmetric,1.0,1.0,softmax,top50,8,40,10,6.495064,85.98,2.018517,22.462618,0.676347,40.496497
both,non_symmetric,1.0,1.0,softmax,top50,8,40,11,6.204482,88.94,2.006559,22.239251,0.495375,40.635140
both,non_symmetric,1.0,1.0,softmax,top50,8,40,12,5.783566,91.15,2.016248,22.318602,0.348028,41.162370
both,non_symmetric,1.0,1.0,softmax,top50,8,40,13,5.254787,93.11,2.013380,22.039609,0.252277,41.255079
both,non_symmetric,1.0,1.0,softmax,top50,8,40,14,5.020680,93.73,2.025191,22.039616,0.180507,41.583930
both,non_symmetric,1.0,1.0,softmax,top50,8,40,15,5.041686,94.89,2.055795,22.154664,0.137300,41.690532
both,non_symmetric,1.0,1.0,softmax,top50,8,40,16,5.116841,95.29,2.076833,21.964994,0.107586,41.773451
both,non_symmetric,1.0,1.0,softmax,top50,8,40,17,5.122661,95.63,2.069405,22.121405,0.093702,41.902482
both,non_symmetric,1.0,1.0,softmax,top50,8,40,18,5.019336,95.91,2.076063,22.045339,0.085368,41.881601
both,non_symmetric,1.0,1.0,softmax,top50,8,40,19,5.009483,96.05,2.089069,21.852028,0.082126,41.904206
both,non_symmetric,1.0,1.0,regret,top50,1,5,1,1.306441,50.01,1.507400,18.993726,11.568111,37.116684
both,non_symmetric,1.0,1.0,regret,top50,1,5,2,0.926320,50.59,1.582194,19.148623,10.027109,37.335088
both,non_symmetric,1.0,1.0,regret,top50,2,10,1,2.572628,50.01,1.507400,18.993726,11.568111,37.116684
